 ,InputState,selectionSort,insertionSort,binaryInsertionSort,interChangeSort,shakerSort,shellSort,heapSort,mergesort,quicksort,radixsort
sort,1000,0.002,0,0,0.001,0,0,0.002,0.001,0,0
sort,5000,0.039,0,0.002,0.031,0,0,0.01,0.004,0.001,0.001
sort,10000,0.143,0,0.005,0.123,0,0,0.021,0.009,0.002,0.002
sort,50000,3.757,0,0.027,3.589,0,0.001,0.151,0.034,0.01,0.013
sort,100000,15.675,0,0.06,16.166,0.001,0.003,0.319,0.073,0.031,0.028
sort,250000,135.393,0.002,0.213,130.273,0.001,0.009,1.417,0.401,0.198,0.139
reversed,1000,0.002,0,0,0.001,0,0,0.002,0.001,0,0
reversed,5000,0.047,0,0.002,0.032,0,0,0.01,0.004,0.001,0.001
reversed,10000,0.194,0,0.005,0.142,0,0,0.024,0.008,0.002,0.003
reversed,50000,7.587,0.001,0.041,5.19,0,0.001,0.16,0.066,0.02,0.019
reversed,100000,32.224,0,0.073,20.731,0.001,0.007,0.669,0.105,0.036,0.039
reversed,250000,193.108,0.003,0.279,155.774,0.002,0.011,1.178,0.361,0.136,0.116
random,1000,0.002,0,0,0.002,0,0,0.002,0.001,0.001,0
random,5000,0.037,0,0.002,0.031,0,0,0.01,0.004,0.001,0.001
random,10000,0.169,0,0.005,0.146,0,0,0.027,0.009,0.002,0.002
random,50000,4.383,0,0.035,4.262,0,0.001,0.147,0.038,0.013,0.016
random,100000,20.892,0.001,0.097,19.565,0.001,0.003,0.437,0.1,0.036,0.04
random,250000,148.241,0.002,0.234,149.493,0.002,0.013,1.185,0.296,0.136,0.113
nearlysorted,1000,0.002,0,0.001,0.002,0,0,0.001,0.001,0,0
nearlysorted,5000,0.043,0,0.002,0.032,0,0,0.01,0.004,0.001,0.001
nearlysorted,10000,0.225,0,0.005,0.185,0,0,0.027,0.01,0.002,0.003
nearlysorted,50000,4.891,0,0.03,4.332,0,0.002,0.191,0.04,0.014,0.017
nearlysorted,100000,22.355,0.001,0.112,22.282,0,0.004,0.399,0.107,0.037,0.037
nearlysorted,250000,164.118,0.003,0.277,138.653,0.001,0.01,1.114,0.251,0.118,0.088
